kategori,urun_adi,miktar,fiyat,market_adi,resim_linki
Gazlı İçecekler,Red Bull Pink Edition 250 Ml,250 Ml,"50,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1530294.jpg
Gazlı İçecekler,Nontoxx Elmalı Sirkeli İçecek 250 Ml,250 Ml,"34,97",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_226353.jpg
Gazlı İçecekler,Avşar Karadut - Frenk Üzüm Maden Suyu 6 Lı 200 Ml+1 Market,200 Ml,"54,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1445913.jpg
Gazlı İçecekler,Nontoxx Limon &kavun Aromalı Sirkeli İçecek 250 Ml,250 Ml,"34,97",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_785261.jpg
Gazlı İçecekler,Avşar Mango - Ananas Maden Suyu 6 Lı 200 Ml+2 Market,200 Ml,"54,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_927824.jpg
Gazlı İçecekler,Nontoxx Guava & Kivi Aromalı Sirkeli İçecek 250 Ml,250 Ml,"34,97",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_341099.jpg
Gazlı İçecekler,Oddly Mınty Melon Karpuz Nane Kutu 250 Ml,250 Ml,"36,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_265492.jpg
Gazlı İçecekler,Gazlı İçecek Portakal 1 Lt Kristal+1 Market,1 Lt,"25,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_265978.jpg
Gazlı İçecekler,Meyveli İçecek Naneli 1 Lt Lavı +,1 Lt,"239,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1435211.jpg
Gazlı İçecekler,Çilek Aromalı İçecek 310 Ml Link,310 Ml,"14,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_507116.jpg
Gazlı İçecekler,Predator Gold 250 Ml Kutu,250 Ml,"30,30",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_280825.jpg
Gazlı İçecekler,Gazlı İçecek Mandalina 250 Ml Sarıyer,250 Ml,"12,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1570630.jpg
Gazlı İçecekler,Gazlı İçecek Gazoz 250 Ml Sarıyer,250 Ml,"12,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_322955.jpg
Gazlı İçecekler,Yedigün Portakal 33 Cl+1 Market,,"38,00",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/xfhH2hYN8q_500x500.png
Gazlı İçecekler,Fruko 2.5 Lt Pet,5 Lt,"57,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_968139.jpg
Hazır Gıda,Fersan %100 Nar Ekşisi 330 Gr,330 G,"199,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1155408.jpg
Hazır Gıda,Tamek Fasulye Pilaki 400 Gr,400 G,"54,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1545373.jpg
Hazır Gıda,Kemal Kükrer Nar Ekşisi 250 Ml,250 Ml,"212,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_469961.jpg
